	seq_id	length
0	GUT_GENOME143131_1	100000
1	GUT_GENOME143505_1	100000
2	GUT_GENOME147678_1	100000
3	GUT_GENOME096063_2	100000
4	GUT_GENOME144544_1	100000
5	GUT_GENOME147598_1	100000
