	Genome	start	end	CRC	control
0	GUT_GENOME143505_1	0	100000	0.8418230563002681	0.6962025316455697
1	GUT_GENOME143505_1	2800000	2900000	0.8605898123324397	0.7113924050632912
2	GUT_GENOME143505_1	4200000	4300000	0.8123324396782842	0.7088607594936709
3	GUT_GENOME143505_1	1200000	1300000	0.7158176943699732	0.6430379746835443
4	GUT_GENOME143505_1	4100000	4200000	0.7024128686327078	0.5924050632911393
5	GUT_GENOME143505_1	4900000	5000000	0.8659517426273459	0.7443037974683544
6	GUT_GENOME143505_1	1400000	1500000	0.8176943699731903	0.6886075949367089
7	GUT_GENOME143505_1	800000	900000	0.739946380697051	0.6253164556962025
8	GUT_GENOME143505_1	4700000	4800000	0.6863270777479893	0.6151898734177215
9	GUT_GENOME143505_1	3700000	3800000	0.6675603217158177	0.589873417721519
10	GUT_GENOME143505_1	5200000	5300000	0.7372654155495979	0.6303797468354431
11	GUT_GENOME143505_1	5100000	5200000	0.900804289544236	0.7721518987341772
12	GUT_GENOME143505_1	400000	500000	0.707774798927614	0.620253164556962
13	GUT_GENOME143505_1	3900000	4000000	0.7131367292225201	0.6151898734177215
14	GUT_GENOME143505_1	4800000	4900000	0.613941018766756	0.5443037974683544
15	GUT_GENOME143505_1	600000	700000	0.7721179624664879	0.6379746835443038
16	GUT_GENOME143505_1	700000	800000	0.6702412868632708	0.5746835443037974
17	GUT_GENOME143505_1	1300000	1400000	0.739946380697051	0.660759493670886
18	GUT_GENOME143505_1	1600000	1700000	0.7935656836461126	0.6911392405063291
19	GUT_GENOME143505_1	1700000	1800000	0.5603217158176944	0.4835443037974684
20	GUT_GENOME143505_1	2600000	2700000	0.7292225201072386	0.6177215189873417
21	GUT_GENOME143505_1	900000	1000000	0.707774798927614	0.5746835443037974
22	GUT_GENOME143505_1	4400000	4500000	0.6943699731903485	0.6126582278481013
23	GUT_GENOME143505_1	3000000	3100000	0.7319034852546917	0.6379746835443038
24	GUT_GENOME143505_1	4500000	4600000	0.7533512064343163	0.6506329113924051
25	GUT_GENOME143505_1	3300000	3400000	0.6890080428954424	0.5721518987341773
