,Sample,Frequency,COG,group,Function
0,0,0.0006418485237483953,A,0,A: RNA processing and modification
1,0,0.0,B,0,B: Chromatin structure and dynamics
2,0,0.059050064184852376,C,0,C: Energy production and conversion
3,0,0.018613607188703467,D,0,"D: Cell cycle control, cell division, chromosome partitioning"
4,0,0.07991014120667522,E,0,E: Amino acid transport and metabolism
5,0,0.04043645699614891,F,0,F: Nucleotide transport and metabolism
6,0,0.1113607188703466,G,0,G: Carbohydrate transport and metabolism
7,0,0.04878048780487805,H,0,H: Coenzyme transport and metabolism
8,0,0.024069319640564826,I,0,I: Lipid transport and metabolism
9,0,0.06001283697047497,J,0,"J: Translation, ribosomal structure and biogenesis"
10,0,0.0834403080872914,K,0,K: Transcription
11,0,0.08985879332477535,L,0,"L: Replication, recombination and repair"
12,0,0.10109114249037227,M,0,M: Cell wall/membrane/envelope biogenesis
13,0,0.01668806161745828,N,0,N: Cell motility
14,0,0.03465982028241335,O,0,"O: Posttranslational modification, protein turnover, chaperones"
15,0,0.08472400513478819,P,0,P: Inorganic ion transport and metabolism
16,0,0.0137997432605905,Q,0,"Q: Secondary metabolites biosynthesis, transport and catabolism"
17,0,0.0,R,0,R: General function prediction only
18,0,0.06482670089858793,T,0,T: Signal transduction mechanisms
19,0,0.027599486521181,U,0,"U: Intracellular trafficking, secretion, and vesicular transport"
20,0,0.04011553273427471,V,0,V: Defense mechanisms
21,0,0.0,W,0,W: Extracellular structures
22,0,0.0,Y,0,Y: Nuclear structure
23,0,0.00032092426187419767,Z,0,Z: Cytoskeleton
24,1,0.0,A,1,A: RNA processing and modification
25,1,0.0,B,1,B: Chromatin structure and dynamics
26,1,0.053064958828911254,C,1,C: Energy production and conversion
27,1,0.013723696248856358,D,1,"D: Cell cycle control, cell division, chromosome partitioning"
28,1,0.06953339432753888,E,1,E: Amino acid transport and metabolism
29,1,0.03385178408051235,F,1,F: Nucleotide transport and metabolism
30,1,0.08325709057639524,G,1,G: Carbohydrate transport and metabolism
31,1,0.039341262580054895,H,1,H: Coenzyme transport and metabolism
32,1,0.0192131747483989,I,1,I: Lipid transport and metabolism
33,1,0.05123513266239707,J,1,"J: Translation, ribosomal structure and biogenesis"
34,1,0.08600182982616651,K,1,K: Transcription
35,1,0.20768526989935956,L,1,"L: Replication, recombination and repair"
36,1,0.08234217749313816,M,1,M: Cell wall/membrane/envelope biogenesis
37,1,0.007319304666056725,N,1,N: Cell motility
38,1,0.03110704483074108,O,1,"O: Posttranslational modification, protein turnover, chaperones"
39,1,0.0686184812442818,P,1,P: Inorganic ion transport and metabolism
40,1,0.012808783165599268,Q,1,"Q: Secondary metabolites biosynthesis, transport and catabolism"
41,1,0.0,R,1,R: General function prediction only
42,1,0.05763952424519671,T,1,T: Signal transduction mechanisms
43,1,0.039341262580054895,U,1,"U: Intracellular trafficking, secretion, and vesicular transport"
44,1,0.043000914913083256,V,1,V: Defense mechanisms
45,1,0.0,W,1,W: Extracellular structures
46,1,0.0,Y,1,Y: Nuclear structure
47,1,0.0009149130832570906,Z,1,Z: Cytoskeleton
48,2,0.0004807692307692308,A,0,A: RNA processing and modification
49,2,0.0,B,0,B: Chromatin structure and dynamics
50,2,0.05480769230769231,C,0,C: Energy production and conversion
51,2,0.013942307692307693,D,0,"D: Cell cycle control, cell division, chromosome partitioning"
52,2,0.058173076923076925,E,0,E: Amino acid transport and metabolism
53,2,0.03461538461538462,F,0,F: Nucleotide transport and metabolism
54,2,0.07788461538461539,G,0,G: Carbohydrate transport and metabolism
55,2,0.028365384615384615,H,0,H: Coenzyme transport and metabolism
56,2,0.017788461538461538,I,0,I: Lipid transport and metabolism
57,2,0.05096153846153846,J,0,"J: Translation, ribosomal structure and biogenesis"
58,2,0.12740384615384615,K,0,K: Transcription
59,2,0.24278846153846154,L,0,"L: Replication, recombination and repair"
60,2,0.06057692307692308,M,0,M: Cell wall/membrane/envelope biogenesis
61,2,0.013461538461538462,N,0,N: Cell motility
62,2,0.03125,O,0,"O: Posttranslational modification, protein turnover, chaperones"
63,2,0.047596153846153844,P,0,P: Inorganic ion transport and metabolism
64,2,0.0125,Q,0,"Q: Secondary metabolites biosynthesis, transport and catabolism"
65,2,0.0,R,0,R: General function prediction only
66,2,0.05096153846153846,T,0,T: Signal transduction mechanisms
67,2,0.041346153846153845,U,0,"U: Intracellular trafficking, secretion, and vesicular transport"
68,2,0.035096153846153846,V,0,V: Defense mechanisms
69,2,0.0,W,0,W: Extracellular structures
70,2,0.0,Y,0,Y: Nuclear structure
71,2,0.0,Z,0,Z: Cytoskeleton
72,3,0.00023223409196470042,A,0,A: RNA processing and modification
73,3,0.0,B,0,B: Chromatin structure and dynamics
74,3,0.07185322805387831,C,0,C: Energy production and conversion
